Symbol,SL Multiplier,TP RR,Final PnL ($),Sharpe Ratio,Max Drawdown ($),Max Drawdown (%),Total Trades,Win Rate,Initial Capital
Volatility 10 Index,1.0,1.0,1.8077602034598432,0.2318501926521697,32.52457702178052,25.26727920982168,57,59.64912280701754,100
Volatility 10 Index,1.0,1.1,5.750294176010181,0.7443761289408625,26.221864431863462,20.863839081967555,57,57.89473684210527,100
Volatility 10 Index,1.0,1.2000000000000002,17.33228600490912,2.121649921616894,21.481807167502865,16.489056793500193,57,57.89473684210527,100
Volatility 10 Index,1.0,1.3000000000000005,28.914277833791687,3.349432513722172,21.101384226700446,15.644859076429093,57,57.89473684210527,100
Volatility 10 Index,1.0,1.4000000000000004,31.116324248955443,3.3820861992173668,21.63586733080305,15.04276855708124,57,56.14035087719298,100
Volatility 10 Index,1.0,1.5000000000000004,42.30748501893488,4.370601242711167,21.027049316962803,14.525409492327,57,56.14035087719298,100
Volatility 10 Index,1.0,1.6000000000000003,17.83728402872186,1.757633857002151,35.7491750913878,25.136030940150807,57,49.122807017543856,100
Volatility 10 Index,1.0,1.7000000000000006,27.656853961767247,2.614181822054961,34.68885121148381,23.281650320128307,57,49.122807017543856,100
Volatility 10 Index,1.0,1.8000000000000007,37.47642389482082,3.400566431600146,33.62852733157982,21.58854589503236,57,49.122807017543856,100
Volatility 10 Index,1.0,1.9000000000000008,47.29599382786075,4.123236701966742,32.56820345167583,20.03655506063569,57,49.122807017543856,100
Volatility 10 Index,1.0,2.000000000000001,50.43967800585271,4.362045550159603,31.50787957176638,19.37256674463329,56,48.21428571428572,100
Volatility 10 Index,1.0,2.100000000000001,50.89636651498624,4.216926745367827,37.64940484445671,22.27094869972079,56,46.42857142857143,100
Volatility 10 Index,1.0,2.200000000000001,49.59406174936287,3.778171042247561,45.02063940882943,25.65840777692169,56,44.642857142857146,100
Volatility 10 Index,1.0,2.300000000000001,58.43242590881293,4.294690444321441,43.96031552892538,24.17109178072642,56,44.642857142857146,100
Volatility 10 Index,1.0,2.400000000000001,53.95274726664904,4.112620709737531,42.899991649021445,24.51942119444764,56,42.85714285714285,100
Volatility 10 Index,1.0,2.5000000000000013,62.39940428487845,4.600525450447142,41.83966776911743,23.11820019373944,56,42.85714285714285,100
Volatility 10 Index,1.0,2.6000000000000014,70.84606130311059,5.055808098219283,41.24562888916967,22.00165934001528,56,42.85714285714285,100
Volatility 10 Index,1.0,2.700000000000001,66.10605788544981,4.366962729381994,52.90568044520237,27.409726994118305,56,41.07142857142857,100
Volatility 10 Index,1.0,2.8000000000000016,60.93337470817769,4.063239926443732,52.20175279329521,28.099728588908132,56,39.285714285714285,100
Volatility 10 Index,1.0,2.9000000000000017,44.46065466455674,2.887627283201054,58.90653180615624,32.14617830005006,56,35.714285714285715,100
Volatility 10 Index,1.0,3.0000000000000018,51.58101994706921,3.25109745986693,58.20260415424906,30.85843108191644,56,35.714285714285715,100
Volatility 10 Index,1.0,3.100000000000002,42.901103446044,2.7416431496685587,57.49867650234194,32.27049469701573,56,33.92857142857143,100
